Nombre de la Unidad Económica,Latitud,Longitud
CENTRO VETERINARIO DEL SUR,19.33957617,-99.20541403
CENTRO VETERINARIO DEL SUR,19.32972837,-99.12753268
CENTRO VETERINARIO EL DRUIDA,19.30991046,-99.11642892
CENTRO VETERINARIO EMPIGI,19.37662152,-99.1268867
CENTRO VETERINARIO FIGHI,19.37004809,-99.07626859
CENTRO VETERINARIO FORTUNA,19.48186237,-99.12705034
CENTRO VETERINARIO GRANADOS,19.29197411,-99.04100829
CENTRO VETERINARIO HOLISTICO,19.37877397,-99.13135748
CENTRO VETERINARIO IDEAL,19.47999333,-99.17967986
CENTRO VETERINARIO INSURGENTES,19.48406238,-99.12176843
CENTRO VETERINARIO INTEGRAL HORUS,19.25039616,-99.12358823
CENTRO VETERINARIO INTEGRAL LA PERRUQUERIA,19.47728715,-99.11646187
CENTRO VETERINARIO JARDIN,19.47281551,-99.15926979
CENTRO VETERINARIO LOS REYES,19.39465654,-99.11452106
CENTRO VETERINARIO METZTLI,19.46946262,-99.12076821
CENTRO VETERINARIO MEXICO,19.39573741,-99.25949706
CENTRO VETERINARIO MR. WOOF,19.29631317,-99.13890032
CENTRO VETERINARIO MYR,19.4477643,-99.14496778
CENTRO VETERINARIO NORTE,19.46016259,-99.12698731
CENTRO VETERINARIO ONE PET,19.41335278,-99.05976193
CENTRO VETERINARIO PARQUE SAN ANDRES,19.34575128,-99.148521
CENTRO VETERINARIO PENBROKE,19.50707511,-99.0983264
CENTRO VETERINARIO PETZANIA,19.35851884,-99.11475871
CENTRO VETERINARIO PLATINO,19.45355499,-99.11444647
CENTRO VETERINARIO POKEMON,19.25306978,-99.12396001
CENTRO VETERINARIO REYNOSA,19.49210433,-99.18807326
CENTRO VETERINARIO ROMA NORTE,19.41514418,-99.15818373
CENTRO VETERINARIO SERGIO,19.46026315,-99.16549073
CENTRO VETERINARIO SIN NOMBRE,19.46252903,-99.09295736
CENTRO VETERINARIO SUR,19.3046274,-99.1086984
CENTRO VETERINARIO SUR,19.30257785,-99.10855172
CENTRO VETERINARIO TLATELOLCO,19.45526126,-99.14334928
CENTRO VETERINARIO UNA SOLA SALUD,19.389567,-99.06790946
CENTRO VETERINARIO UNION,19.48138658,-99.12225625
CENTRO VETERINARIO VIMONT,19.38856857,-99.07520356
CENTRO VETERINARIO XOCHIMILCO,19.28239823,-99.12090462
CENTRO VETERINARIO ZARAGOZA,19.36389479,-99.00316949
CENTRO VETERINARIO ZARAGOZA,19.41061913,-99.09347422
CENTRO VETERINRIO COYOACAN,19.34349718,-99.16797187
CENVET,19.36769055,-99.16315067
CEVET LA ESCALERA,19.51023946,-99.14003063
CF VETERINARIA,19.40230572,-99.15643233
CHIFLANIOS ESTETICA CANINA,19.48990672,-99.14345128
CHUCHOS DOG,19.34202264,-99.02602108
CIHUACOAL,19.46662346,-99.17026788
CIMA,19.31775033,-99.09615142
CIUDAD MASCOTA ZURICH,19.44498944,-99.2027208
CIVET ANIMALES URBANOS,19.38273178,-99.07332281
CLASICC PET,19.36590842,-99.11953212
CLINI PETS,19.48788552,-99.13203301
CLINIC VETERINARIA,19.38359538,-99.25102382
CLINIC VETERINARIA QI VET,19.36891523,-99.16080969
CLINICA AGUILAS VETERINARIA,19.34863233,-99.22896191
CLINICA AMIGOS,19.33502675,-99.14754635
CLINICA ANIMAL,19.40485349,-99.16311673
CLINICA ANIMAL,19.32995171,-99.1694666
CLINICA ANIMAL ANIMAL HEALTH,19.324324,-99.10602361
CLINICA DE ATENCION A LOS ANIMALES DE COMPAÑIA,19.40071771,-99.05831535
CLINICA DE PEQUEÑOS ANIMALES,19.39526396,-99.07392248
CLINICA DOCTOR CASAUBON,19.34531915,-99.16848066
CLINICA DOCTOR QUIÑONES,19.43272145,-99.17141119
CLINICA DR CASAUBON,19.38735491,-99.16710673
CLINICA FIZIOTERAPIA FIZIO RD,19.40183595,-99.14091769
CLINICA HAPPY POWS,19.4221104,-99.15159061
CLINICA INTEGRAL PARA MASCOTAS,19.42053759,-99.11626772
CLINICA INTEGRAL VETERINARIA,19.36955769,-99.21957227
CLINICA MEDICA ANIMAL,19.34958001,-99.13066789
CLINICA MEDICO VETERINARIO ZOOCAN,19.28048875,-99.18158354
CLINICA PARA MASCOTAS,19.33455511,-99.16829292
CLINICA PARA MASCOTAS,19.33439742,-99.16814381
CLINICA SALINAS VETERINARIA,19.31937051,-99.15452309
CLINICA VETERIANA IXCEL,19.39579485,-99.13959675
CLINICA VETERINARIA,19.33808132,-99.08243887
CLINICA VETERINARIA,19.33241733,-99.24939437
CLINICA VETERINARIA,19.34348515,-99.21413464
CLINICA VETERINARIA,19.28857369,-99.12208091
CLINICA VETERINARIA,19.29051557,-99.12557101
CLINICA VETERINARIA,19.41237534,-99.16204367
CLINICA VETERINARIA,19.41719016,-99.13797798
CLINICA VETERINARIA,19.40967153,-99.16935751
CLINICA VETERINARIA,19.45415959,-99.14699518
